title,published_date
Kohli leads India to win over Pakistan in T20 World Cup thriller,"Sun, 23 Oct 2022 13:28:04 +0000"
Why is Iran designating UK-based TV channels as ‘terrorists’?,"Sun, 23 Oct 2022 13:03:16 +0000"
"Protests in Berlin, US cities in solidarity with Iranian women","Sun, 23 Oct 2022 11:56:39 +0000"
Photos: Russian authorities ask civilians to leave Kherson city,"Sun, 23 Oct 2022 11:41:33 +0000"
Rishi Sunak enters race to replace Liz Truss as UK PM,"Sun, 23 Oct 2022 11:15:14 +0000"
Could the EPC hold Europe together in the face of Russian threat?,"Sun, 23 Oct 2022 11:11:01 +0000"
"Car explosion, gunfire hit hotel in Somalia’s Kismayo: Reports","Sun, 23 Oct 2022 10:49:23 +0000"
Israel accused of killing Palestinian fighter in West Bank,"Sun, 23 Oct 2022 10:11:07 +0000"
The US cannot ignore the new ‘pink tide’ in Latin America,"Sun, 23 Oct 2022 09:34:18 +0000"
India rocket puts 36 internet satellites into orbit,"Sun, 23 Oct 2022 08:24:04 +0000"
Who’s on China’s new Politburo Standing Committee?,"Sun, 23 Oct 2022 08:22:35 +0000"
"Russia-Ukraine war: List of key events, day 242","Sun, 23 Oct 2022 07:52:17 +0000"
The battle over space emissions in Cornwall,"Sun, 23 Oct 2022 07:44:11 +0000"
Saudi crown prince ‘not attending Arab summit on doctors’ advice’,"Sun, 23 Oct 2022 04:55:19 +0000"
"China’s Xi secures third term, stacks leadership team with allies","Sun, 23 Oct 2022 04:28:47 +0000"
Xi set to clinch historic third term as China unveils new leaders,"Sun, 23 Oct 2022 03:50:53 +0000"
"Preview: India, Pakistan set for T20 World Cup opener","Sun, 23 Oct 2022 03:39:30 +0000"
"Sunak, Johnson hold talks amid battle for Conservative leadership","Sun, 23 Oct 2022 02:40:23 +0000"
Russian authorities urge residents to leave Kherson ‘immediately’,"Sat, 22 Oct 2022 21:39:58 +0000"
Category 4 Hurricane Roslyn set to hit Mexico,"Sat, 22 Oct 2022 19:15:47 +0000"
Injury-time equaliser helps Man United draw at Chelsea,"Sat, 22 Oct 2022 19:07:29 +0000"
What’s next for Italy and its approach to the world?,"Sat, 22 Oct 2022 18:56:27 +0000"
Israeli forces kill Palestinian in West Bank,"Sat, 22 Oct 2022 18:30:29 +0000"
"Five of the best: India, Pakistan T20 rivalry revisited","Sat, 22 Oct 2022 16:18:45 +0000"
Giorgia Meloni sworn in as Italy’s first female prime minister,"Sat, 22 Oct 2022 15:31:07 +0000"
